Serial,Name,Yob,Candidacy,Cycle
1,משה אונא,1902,Full,1
2,סיף א-דין א-זועבי,1913,Full,1
3,ברוך אזניה,1905,Partial,1
4,בבה אידלסון,1885,Full,1
5,פייגה אילנית,1909,Full,1
6,אליהו אלישר,1899,Full,1
7,אברהם אלמליח,1876,Full,1
8,עמי אסף,1903,Full,1
9,יוסף אפרתי,1897,Full,1
10,מאיר ארגוב,1905,Full,1
11,משה ארם,1896,Full,1
12,זלמן ארן,1899,Full,1
13,מנחם בגין,1913,Full,1
14,יוחנן בדר,1905,Full,1
15,מנחם בדר,1895,Full,1
16,אריה בהיר,1906,Full,1
17,יוסף בורג,1909,Full,1
18,יצחק בן-אהרן,1906,Full,1
19,אריה בן-אליעזר,1913,Full,1
20,חיים בן-אשר,1904,Full,1
21,דוד בן-גוריון,1886,Full,1
22,מרדכי בנטוב,1900,Full,1
23,משה בן-עמי,1898,Full,1
24,יצחק בן-צבי,1884,Full,1
25,הרצל ברגר,1904,Partial,1
26,ישראל בר-יהודה,1895,Full,1
27,דב בר-ניר,1911,Partial,1
28,פרץ ברנשטיין,1890,Full,1
29,יוסף ברץ,1890,Full,1
30,דוד בר-רב-האי,1894,Full,1
31,רפאל בש,1913,Partial,1
32,עקיבא גוברין,1902,Full,1
33,אברהם יהודה גולדראט,1912,Full,1
34,ישראל גורי,1893,Full,1
35,שרגא גורן,1898,Full,1
36,יעקב גיל,1908,Full,1
37,זכריה גלוסקא,1894,Full,1
38,ישראל גלילי,1911,Full,1
39,אליהו משה גנחובסקי,1901,Full,1
40,אמין-סלים ג'רג'ורה,1886,Full,1
41,אהרן יעקב גרינברג,1900,Full,1
42,אורי צבי גרינברג,1895,Full,1
43,אברהם גרנות,1890,Full,1
44,יחיאל דובדבני,1896,Full,1
45,שמואל דיין,1891,Full,1
46,בן-ציון דינור,1884,Full,1
47,חסיה דרורי,1899,Full,1
48,דוד הכהן,1898,Full,1
49,אליהו הכרמלי,1891,Full,1
50,נטע הרפז,1893,Full,1
51,אברהם הרצפלד,1891,Full,1
52,יזהר הררי,1908,Full,1
53,מאיר וילנר,1918,Full,1
54,זרח ורהפטיג,1906,Full,1
55,ערי ז'בוטינסקי,1910,Full,1
56,אבא חושי,1898,Partial,1
57,יעקב חזן,1899,Full,1
58,אברהם טביב,1889,Partial,1
59,יצחק טבנקין,1888,Partial,1
60,ז'ניה טברסקי,1904,Partial,1
61,תופיק טובי,1922,Full,1
62,צבי יהודה,1887,Full,1
63,דב יוסף,1899,Full,1
64,נתן ילין-מור,1913,Full,1
65,מאיר יערי,1897,Full,1
66,ישראל ישעיהו-שרעבי,1908,Partial,1
67,אידוב כהן,1909,Full,1
68,מנחם כהן,1922,Partial,1
69,קלמן כהנא,1910,Full,1
70,רחל כהן-כגן,1888,Full,1
71,חיים כהן-מגורי,1913,Full,1
72,יונה כסה,1907,Full,1
73,שמואל כץ,1914,Full,1
74,פנחס לבון,1904,Full,1
75,שלמה לביא,1882,Full,1
76,מאיר דוד לוונשטיין,1904,Full,1
77,יצחק מאיר לוין,1893,Full,1
78,אליעזר ליבנה,1902,Full,1
79,דוד ליבשיץ,1897,Partial,1
80,יוסף מיכאל לם,1899,Partial,1
81,חנה למדן,1905,Full,1
82,חיים לנדאו,1916,Full,1
83,אליהו לנקין,1914,Full,1
84,גולדה מאיר,1898,Full,1
85,אליהו מזור,1889,Partial,1
86,יהודה לייב מימון,1875,Full,1
87,עדה מימון,1891,Full,1
88,בנימין מינץ,1903,Full,1
89,שמואל מיקוניס,1903,Full,1
90,יעקב מרידור,1913,Full,1
91,שמואל מרלין,1910,Full,1
92,מרדכי נורוק,1884,Full,1
93,נחום ניר,1884,Full,1
94,פרץ נפתלי,1888,Full,1
95,דבורה נצר,1897,Full,1
96,יזהר סמילנסקי,1916,Full,1
97,משה סנה,1909,Full,1
98,יוסף ספיר,1902,Full,1
99,יוסף סרלין,1906,Full,1
100,ישעיהו פורדר,1901,Full,1
101,דוד צבי פנקס,1897,Full,1
102,השל פרומקין,1896,Partial,1
103,אליעזר פרי,1902,Full,1
104,אליעזר פרמינגר,1920,Full,1
105,שושנה פרסיץ,1892,Full,1
106,אהרן ציזלינג,1901,Full,1
107,הלל קוק,1915,Full,1
108,יעקב קליבנוב,1887,Full,1
109,משה קלמר,1901,Partial,1
110,יצחק קנב,1896,Partial,1
111,אליעזר קפלן,1891,Full,1
112,חנן רובין,1908,Full,1
113,פנחס רוזן,1887,Full,1
114,ישראל רוקח,1886,Full,1
115,אסתר רזיאל-נאור,1911,Full,1
116,יעקב ריפתין,1907,Full,1
117,דוד רמז,1886,Partial,1
118,ברל רפטור,1902,Full,1
119,מנחם רצון,1919,Partial,1
120,אברהם רקנטי,1888,Full,1
121,אברהם חיים שאג,1887,Full,1
122,שניאור זלמן שזר,1889,Full,1
123,בכור שלום שטרית,1895,Full,1
124,יהודית שמחונית,1902,Partial,1
125,אריה שפטל,1905,Partial,1
126,חיים משה שפירא,1902,Full,1
127,יוסף שפרינצק,1884,Full,1
128,ראובן שרי,1903,Full,1
129,משה שרת,1894,Full,1
130,אפרים תבורי,1900,Full,1
131,בנימין אבניאל,1906,Full,2
132,משה אונא,1902,Full,2
133,יעקב אורי,1888,Full,2
134,סיף א-דין א-זועבי,1913,Full,2
135,ברוך אזניה,1905,Full,2
136,בבה אידלסון,1885,Full,2
137,עזרא איכילוב,1907,Full,2
138,אריה אלטמן,1902,Full,2
139,אליהו אלישר,1899,Full,2
140,עמי אסף,1903,Full,2
141,יוסף אפרתי,1897,Full,2
142,מאיר ארגוב,1905,Full,2
143,חיים אריאב,1895,Full,2
144,משה ארם,1896,Full,2
145,זלמן ארן,1899,Full,2
146,לוי אשכול,1895,Full,2
147,שמחה בבה,1902,Full,2
148,מנחם בגין,1913,Full,2
149,יוחנן בדר,1905,Full,2
150,חיים בוגר,1876,Full,2
151,יוסף בורג,1909,Full,2
152,שמעון בז'רנו,1910,Full,2
153,יצחק בן-אהרן,1906,Full,2
154,אריה בן-אליעזר,1913,Partial,2
155,חיים בן-אשר,1904,Full,2
156,דוד בן-גוריון,1886,Full,2
157,מרדכי בנטוב,1900,Full,2
158,זלמן בן-יעקב,1897,Partial,2
159,שלמה ישראל בן-מאיר,1910,Partial,2
160,יצחק בן-צבי,1884,Partial,2
161,רוסתם בסתוני,1923,Full,2
162,הרצל ברגר,1904,Full,2
163,ישראל בר-יהודה,1895,Full,2
164,אברהם ברמן,1907,Full,2
165,פרץ ברנשטיין,1890,Full,2
166,דוד בר-רב-האי,1894,Full,2
167,עקיבא גוברין,1902,Full,2
168,ישראל גורי,1893,Full,2
169,אליהו משה גנחובסקי,1901,Full,2
170,שמעון גרידי,1912,Full,2
171,אברהם גרנות,1890,Partial,2
172,אברהם דויטש,1889,Partial,2
173,שמואל דיין,1891,Full,2
174,דוד הכהן,1898,Partial,2
175,אליהו הכרמלי,1891,Partial,2
176,שלמה הלל,1923,Partial,2
177,יחזקאל הן,1908,Partial,2
178,בן-ציון הראל,1892,Full,2
179,אברהם הרצפלד,1891,Full,2
180,יזהר הררי,1908,Full,2
181,אסתר וילנסקה,1918,Full,2
182,מאיר וילנר,1918,Full,2
183,זרח ורהפטיג,1906,Full,2
184,שלום זיסמן,1914,Full,2
185,אמיל חביבי,1922,Full,2
186,יעקב חזן,1899,Full,2
187,יעקב מיכאל חזני,1913,Full,2
188,פארס חמדאן,1910,Full,2
189,סאלח-חסן ח'ניפס,1913,Full,2
190,נחום חת,1896,Full,2
191,ז'ניה טברסקי,1904,Full,2
192,תופיק טובי,1922,Full,2
193,דב יוסף,1899,Full,2
194,מאיר יערי,1897,Full,2
195,ישראל ישעיהו-שרעבי,1908,Full,2
196,אידוב כהן,1909,Partial,2
197,קלמן כהנא,1910,Full,2
198,חיים כהן-מגורי,1913,Partial,2
199,אברהם כלפון,1900,Partial,2
200,יונה כסה,1907,Full,2
201,שרה כפרית,1900,Full,2
202,בת-שבע כצנלסון,1897,Full,2
203,פנחס לבון,1904,Full,2
204,שלמה לביא,1882,Full,2
205,קדיש לוז,1895,Full,2
206,יצחק מאיר לוין,1893,Full,2
207,שלמה לורינץ,1918,Full,2
208,אליעזר ליבנה,1902,Full,2
209,דוד ליבשיץ,1897,Full,2
210,חנה למדן,1905,Full,2
211,חיים לנדאו,1916,Full,2
212,גולדה מאיר,1898,Full,2
213,ג'בר מועדי,1919,Full,2
214,עדה מימון,1891,Full,2
215,בנימין מינץ,1903,Full,2
216,שמואל מיקוניס,1903,Full,2
217,יעקב מרידור,1913,Partial,2
218,מרדכי נורוק,1884,Full,2
219,יעקב ניצני,1900,Partial,2
220,מרדכי נמיר,1897,Full,2
221,פרץ נפתלי,1888,Full,2
222,דבורה נצר,1897,Full,2
223,זלמן סוזאיב,1911,Full,2
224,אברהם סטופ,1897,Full,2
225,יזהר סמילנסקי,1916,Full,2
226,משה סנה,1909,Full,2
227,יוסף ספיר,1902,Full,2
228,יוסף סרלין,1906,Full,2
229,ישעיהו פורדר,1901,Partial,2
230,ראובן פלדמן,1899,Full,2
231,ג'ורג' פלש,1909,Full,2
232,דוד צבי פנקס,1897,Partial,2
233,אליעזר פרי,1902,Full,2
234,שלמה פרלשטיין,1902,Full,2
235,שושנה פרסיץ,1892,Full,2
236,רחל צברי,1909,Partial,2
237,אהרן ציזלינג,1901,Full,2
238,משה קול,1911,Partial,2
239,יעקב קליבנוב,1887,Full,2
240,משה קלמר,1901,Full,2
241,ברוך קמין,1914,Partial,2
242,מסעד קסיס,1918,Full,2
243,אליעזר קפלן,1891,Partial,2
244,חנן רובין,1908,Full,2
245,פנחס רוזן,1887,Full,2
246,ישראל רוקח,1886,Full,2
247,אסתר רזיאל-נאור,1911,Full,2
248,אלימלך שמעון רימלט,1907,Full,2
249,יעקב ריפתין,1907,Full,2
250,יצחק רפאל,1914,Full,2
251,אליעזר שוסטק,1911,Partial,2
252,שניאור זלמן שזר,1889,Full,2
253,בכור שלום שטרית,1895,Full,2
254,חיים משה שפירא,1902,Full,2
255,יעקב שמשון שפירא,1902,Full,2
256,זאב שפר,1906,Full,2
257,יוסף שפרינצק,1884,Full,2
258,ראובן שרי,1903,Full,2
259,משה שרת,1894,Full,2
260,בנימין ששון,1903,Full,2
261,אפרים תבורי,1900,Full,2
262,בנימין אבניאל,1906,Full,3
263,אהוד אבריאל,1917,Partial,3
264,מרדכי אולמרט,1908,Full,3
265,משה אונא,1902,Full,3
266,סיף א-דין א-זועבי,1913,Partial,3
267,ברוך אזניה,1905,Full,3
268,בבה אידלסון,1885,Full,3
269,עזרא איכילוב,1907,Full,3
270,יגאל אלון,1918,Full,3
271,אריה אלטמן,1902,Full,3
272,יוסף-אהרן אלמוגי,1910,Full,3
273,ירחמיאל אסא,1919,Partial,3
274,עמי אסף,1903,Full,3
275,יוסף אפרתי,1897,Full,3
276,מאיר ארגוב,1905,Full,3
277,בנימין ארדיטי,1897,Full,3
278,חיים אריאב,1895,Partial,3
279,משה ארם,1896,Full,3
280,זלמן ארן,1899,Full,3
281,לוי אשכול,1895,Full,3
282,שמחה בבה,1902,Full,3
283,מנחם בגין,1913,Full,3
284,יוחנן בדר,1905,Full,3
285,אריה בהיר,1906,Full,3
286,יוסף בורג,1909,Full,3
287,שמעון בז'רנו,1910,Full,3
288,יצחק בן-אהרן,1906,Full,3
289,אריה בן-אליעזר,1913,Full,3
290,דוד בן-גוריון,1886,Full,3
291,מרדכי בנטוב,1900,Full,3
292,זלמן בן-יעקב,1897,Partial,3
293,שלמה ישראל בן-מאיר,1910,Full,3
294,אהרן בקר,1905,Partial,3
295,הרצל ברגר,1904,Full,3
296,ישראל ברזילי,1913,Full,3
297,ישראל בר-יהודה,1895,Full,3
298,פרץ ברנשטיין,1890,Full,3
299,דוד בר-רב-האי,1894,Partial,3
300,עקיבא גוברין,1902,Full,3
301,ישראל גורי,1893,Full,3
302,ישראל גלילי,1911,Full,3
303,שלמה יעקב גרוס,1908,Partial,3
304,אהרן יעקב גרינברג,1900,Full,3
305,עמוס דגני,1926,Partial,3
306,שמואל דיין,1891,Full,3
307,דוד הכהן,1898,Full,3
308,שלמה הלל,1923,Partial,3
309,רות הקטין,1901,Full,3
310,בן-ציון הראל,1892,Full,3
311,אברהם הרצפלד,1891,Full,3
312,יזהר הררי,1908,Full,3
313,אסתר וילנסקה,1918,Full,3
314,מאיר וילנר,1918,Full,3
315,זרח ורהפטיג,1906,Full,3
316,פריג'א זוארץ,1907,Full,3
317,אמיל חביבי,1922,Full,3
318,יעקב חזן,1899,Full,3
319,יעקב מיכאל חזני,1913,Full,3
320,פארס חמדאן,1910,Full,3
321,יוסוף ח'מיס,1921,Partial,3
322,סאלח-חסן ח'ניפס,1913,Full,3
323,יצחק טבנקין,1888,Partial,3
324,ז'ניה טברסקי,1904,Partial,3
325,תופיק טובי,1922,Full,3
326,חיים יהודה,1917,Full,3
327,שמשון יוניצ'מן,1907,Full,3
328,דב יוסף,1899,Full,3
329,סנטה יוספטל,1912,Partial,3
330,מאיר יערי,1897,Full,3
331,יצחק יצחקי,1902,Partial,3
332,ישראל ישעיהו-שרעבי,1908,Full,3
333,יעקב כ”ץ,1906,Full,3
334,אידוב כהן,1909,Full,3
335,יוחנן כהן,1917,Partial,3
336,קלמן כהנא,1910,Full,3
337,חיים כהן-מגורי,1913,Full,3
338,יונה כסה,1907,Full,3
339,שרה כפרית,1900,Full,3
340,משה כרמל,1911,Partial,3
341,פנחס לבון,1904,Full,3
342,קדיש לוז,1895,Full,3
343,יצחק מאיר לוין,1893,Full,3
344,נחום לוין,1905,Full,3
345,ברל לוקר,1887,Full,3
346,שלמה לורינץ,1918,Full,3
347,דוד ליבשיץ,1897,Full,3
348,חנה למדן,1905,Partial,3
349,חיים לנדאו,1916,Full,3
350,צפורה לסקוב,1904,Partial,3
351,גולדה מאיר,1898,Full,3
352,ג'בר מועדי,1919,Partial,3
353,בנימין מינץ,1903,Full,3
354,שמואל מיקוניס,1903,Full,3
355,יעקב מרידור,1913,Full,3
356,מרדכי נורוק,1884,Full,3
357,יעקב ניצני,1900,Partial,3
358,נחום ניר,1884,Partial,3
359,מרדכי נמיר,1897,Full,3
360,פרץ נפתלי,1888,Full,3
361,דבורה נצר,1897,Full,3
362,זלמן סוזאיב,1911,Full,3
363,סאלח סלימאן,1888,Full,3
364,יזהר סמילנסקי,1916,Partial,3
365,משה סנה,1909,Full,3
366,יוסף ספיר,1902,Full,3
367,יוסף סרלין,1906,Full,3
368,אברהם עבאס,1912,Partial,3
369,ישעיהו פורדר,1901,Partial,3
370,שלמה פרלשטיין,1902,Full,3
371,שושנה פרסיץ,1892,Full,3
372,רחל צברי,1909,Full,3
373,חיים יוסף צדוק,1913,Partial,3
374,זאב צור,1911,Full,3
375,יעקב קליבנוב,1887,Partial,3
376,משה קלמר,1901,Full,3
377,מסעד קסיס,1918,Full,3
378,ישראל קרגמן,1906,Partial,3
379,חנן רובין,1908,Full,3
380,פנחס רוזן,1887,Full,3
381,ישראל רוקח,1886,Full,3
382,אסתר רזיאל-נאור,1911,Full,3
383,אלימלך שמעון רימלט,1907,Full,3
384,יעקב ריפתין,1907,Full,3
385,אהרן רמז,1919,Partial,3
386,יצחק רפאל,1914,Full,3
387,אליעזר שוסטק,1911,Full,3
388,יוסף שופמן,1903,Full,3
389,גרשום שוקן,1912,Full,3
390,שמואל שורש,1913,Full,3
391,שניאור זלמן שזר,1889,Partial,3
392,בכור שלום שטרית,1895,Full,3
393,חיים משה שפירא,1902,Full,3
394,יעקב שמשון שפירא,1902,Partial,3
395,יוסף שפרינצק,1884,Partial,3
396,משה שרת,1894,Full,3
397,אמה תלמי,1906,Full,3
398,לביב חוסיין אבו-רוכן,1911,Full,4
399,אבא אבן,1915,Full,4
400,בנימין אבניאל,1906,Full,4
401,שניאור זלמן אברמוב,1908,Full,4
402,אחמד א-ד'אהר,1906,Full,4
403,מרדכי אולמרט,1908,Full,4
404,משה אונא,1902,Full,4
405,ברוך אזניה,1905,Full,4
406,בבה אידלסון,1885,Full,4
407,עזרא איכילוב,1907,Full,4
408,יגאל אלון,1918,Partial,4
409,אריה אלטמן,1902,Full,4
410,יוסף-אהרן אלמוגי,1910,Full,4
411,מחמוד א-נאשף,1906,Full,4
412,עמי אסף,1903,Full,4
413,יוסף אפרתי,1897,Full,4
414,מאיר ארגוב,1905,Full,4
415,בנימין ארדיטי,1897,Full,4
416,זלמן ארן,1899,Full,4
417,לוי אשכול,1895,Full,4
418,מנחם בגין,1913,Full,4
419,יוחנן בדר,1905,Full,4
420,יוסף בורג,1909,Full,4
421,מרדכי ביבי,1922,Full,4
422,יצחק בן-אהרן,1906,Full,4
423,אריה בן-אליעזר,1913,Full,4
424,דוד בן-גוריון,1886,Full,4
425,מרדכי בנטוב,1900,Full,4
426,גדעון בן-ישראל,1923,Full,4
427,שלמה ישראל בן-מאיר,1910,Full,4
428,אהרן בקר,1905,Partial,4
429,הרצל ברגר,1904,Full,4
430,ישראל ברזילי,1913,Full,4
431,ישראל בר-יהודה,1895,Full,4
432,פרץ ברנשטיין,1890,Full,4
433,משה ברעם,1911,Full,4
434,דוד בר-רב-האי,1894,Full,4
435,עקיבא גוברין,1902,Full,4
436,יצחק גולן,1912,Full,4
437,ישראל גורי,1893,Full,4
438,ישראל גלילי,1911,Full,4
439,שלמה יעקב גרוס,1908,Partial,4
440,אהרן יעקב גרינברג,1900,Full,4
441,עמוס דגני,1926,Full,4
442,יוסף דיאב,1917,Full,4
443,משה דיין,1915,Full,4
444,אברהם דרורי,1919,Partial,4
445,דוד הכהן,1898,Full,4
446,רות הקטין,1901,Partial,4
447,אברהם הרצפלד,1891,Full,4
448,יזהר הררי,1908,Full,4
449,מאיר וילנר,1918,Partial,4
450,זרח ורהפטיג,1906,Full,4
451,פריג'א זוארץ,1907,Full,4
452,מרדכי זר,1914,Full,4
453,יעקב חזן,1899,Full,4
454,יעקב מיכאל חזני,1913,Full,4
455,יוסוף ח'מיס,1921,Full,4
456,אשר חסין,1918,Full,4
457,ז'ניה טברסקי,1904,Full,4
458,תופיק טובי,1922,Full,4
459,אהרן ידלין,1926,Partial,4
460,חיים יהודה,1917,Partial,4
461,שמשון יוניצ'מן,1907,Partial,4
462,גיורא יוספטל,1912,Full,4
463,מאיר יערי,1897,Full,4
464,ישראל ישעיהו-שרעבי,1908,Full,4
465,יעקב כ”ץ,1906,Full,4
466,אידוב כהן,1909,Full,4
467,מנחם כהן,1922,Full,4
468,קלמן כהנא,1910,Full,4
469,חיים כהן-מגורי,1913,Full,4
470,שמעון כנוביץ',1900,Full,4
471,יונה כסה,1907,Full,4
472,משה כרמל,1911,Full,4
473,פנחס לבון,1904,Full,4
474,קדיש לוז,1895,Full,4
475,יצחק מאיר לוין,1893,Full,4
476,נחום לוין,1905,Full,4
477,שלמה לורינץ,1918,Full,4
478,חנה למדן,1905,Full,4
479,חיים לנדאו,1916,Full,4
480,גולדה מאיר,1898,Full,4
481,בנימין מינץ,1903,Partial,4
482,שמואל מיקוניס,1903,Full,4
483,יעקב מרידור,1913,Full,4
484,אליהו מרידור,1914,Full,4
485,מרדכי נורוק,1884,Full,4
486,אליאס נח'לה,1913,Full,4
487,נחום ניר,1884,Full,4
488,מרדכי נמיר,1897,Full,4
489,משה נסים,1935,Full,4
490,דבורה נצר,1897,Full,4
491,יזהר סמילנסקי,1916,Full,4
492,משה סנה,1909,Partial,4
493,טובה סנהדראי,1906,Full,4
494,יוסף ספיר,1902,Full,4
495,פנחס ספיר,1906,Full,4
496,משה סרדינס,1917,Full,4
497,יוסף סרלין,1906,Full,4
498,יוסף פישר,1920,Full,4
499,מנחם פרוש,1916,Full,4
500,שמעון פרס,1923,Full,4
501,דוד פתל,1921,Full,4
502,רחל צברי,1909,Full,4
503,חיים יוסף צדוק,1913,Full,4
504,צבי צימרמן,1913,Full,4
505,משה קול,1911,Full,4
506,יצחק קורן,1911,Full,4
507,יוסף קושניר,1900,Partial,4
508,ישראל קרגמן,1906,Full,4
509,חנן רובין,1908,Full,4
510,פנחס רוזן,1887,Full,4
511,אסתר רזיאל-נאור,1911,Full,4
512,אלימלך שמעון רימלט,1907,Full,4
513,יעקב ריפתין,1907,Full,4
514,יצחק רפאל,1914,Full,4
515,אליעזר שוסטק,1911,Full,4
516,יוסף שופמן,1903,Full,4
517,שמואל שורש,1913,Full,4
518,בנימין שחור,1916,Full,4
519,בכור שלום שטרית,1895,Full,4
520,שבתאי שיכמן,1915,Full,4
521,חיים משה שפירא,1902,Full,4
522,משה שרת,1894,Full,4
523,אמה תלמי,1906,Full,4
524,אבא אבן,1915,Full,5
525,בנימין אבניאל,1906,Full,5
526,שניאור זלמן אברמוב,1908,Full,5
527,אחמד א-ד'אהר,1906,Full,5
528,משה אונא,1902,Full,5
529,ברוך אזניה,1905,Full,5
530,בבה אידלסון,1885,Full,5
531,יגאל אלון,1918,Full,5
532,אריה אלטמן,1902,Full,5
533,יוסף-אהרן אלמוגי,1910,Full,5
534,ארי אנקוריון,1908,Partial,5
535,עמי אסף,1903,Partial,5
536,יוסף אפרתי,1897,Full,5
537,מאיר ארגוב,1905,Partial,5
538,בנימין ארדיטי,1897,Full,5
539,משה ארם,1896,Partial,5
540,זלמן ארן,1899,Full,5
541,לוי אשכול,1895,Full,5
542,מנחם בגין,1913,Full,5
543,יוחנן בדר,1905,Full,5
544,יוסף בורג,1909,Full,5
545,מרדכי ביבי,1922,Full,5
546,יצחק בן-אהרן,1906,Partial,5
547,אריה בן-אליעזר,1913,Full,5
548,דוד בן-גוריון,1886,Full,5
549,מרדכי בנטוב,1900,Full,5
550,גדעון בן-ישראל,1923,Partial,5
551,שלמה ישראל בן-מאיר,1910,Full,5
552,אהרן בקר,1905,Full,5
553,הרצל ברגר,1904,Partial,5
554,ישראל ברזילי,1913,Full,5
555,ישראל בר-יהודה,1895,Partial,5
556,פרץ ברנשטיין,1890,Full,5
557,משה ברעם,1911,Full,5
558,דוד בר-רב-האי,1894,Full,5
559,חליל-סלים ג'בארה,1913,Partial,5
560,עקיבא גוברין,1902,Full,5
561,אהרן גולדשטיין,1902,Partial,5
562,יצחק גולן,1912,Full,5
563,ישראל גורי,1893,Full,5
564,ישראל גלילי,1911,Full,5
565,שלמה יעקב גרוס,1908,Full,5
566,אהרן יעקב גרינברג,1900,Partial,5
567,עמוס דגני,1926,Full,5
568,משה דיין,1915,Full,5
569,אברהם דרורי,1919,Partial,5
570,דוד הכהן,1898,Full,5
571,רות הקטין,1901,Full,5
572,אברהם הרצפלד,1891,Full,5
573,יזהר הררי,1908,Full,5
574,אסתר וילנסקה,1918,Full,5
575,מאיר וילנר,1918,Partial,5
576,זרח ורהפטיג,1906,Full,5
577,פריג'א זוארץ,1907,Full,5
578,מרדכי זר,1914,Partial,5
579,אמיל חביבי,1922,Partial,5
580,יעקב חזן,1899,Full,5
581,יעקב מיכאל חזני,1913,Full,5
582,יוסוף ח'מיס,1921,Full,5
583,אשר חסין,1918,Full,5
584,ז'ניה טברסקי,1904,Partial,5
585,תופיק טובי,1922,Full,5
586,אברהם טיאר,1928,Full,5
587,אהרן ידלין,1926,Partial,5
588,גיורא יוספטל,1912,Partial,5
589,מאיר יערי,1897,Full,5
590,ישראל ישעיהו-שרעבי,1908,Full,5
591,יעקב כ”ץ,1906,Full,5
592,אידוב כהן,1909,Partial,5
593,בנו כהן,1894,Full,5
594,מנחם כהן,1922,Full,5
595,קלמן כהנא,1910,Full,5
596,רחל כהן-כגן,1888,Full,5
597,חיים כהן-מגורי,1913,Full,5
598,יונה כסה,1907,Full,5
599,משה כרמל,1911,Full,5
600,קדיש לוז,1895,Full,5
601,יצחק מאיר לוין,1893,Full,5
602,נחום לוין,1905,Full,5
603,שלמה לורינץ,1918,Full,5
604,חנה למדן,1905,Partial,5
605,חיים לנדאו,1916,Full,5
606,גולדה מאיר,1898,Full,5
607,ג'בר מועדי,1919,Full,5
608,שמואל מיקוניס,1903,Full,5
609,יעקב מרידור,1913,Full,5
610,אליהו מרידור,1914,Full,5
611,מרדכי נורוק,1884,Partial,5
612,אליאס נח'לה,1913,Full,5
613,נחום ניר,1884,Full,5
614,מרדכי נמיר,1897,Full,5
615,דבורה נצר,1897,Full,5
616,יזהר סמילנסקי,1916,Full,5
617,משה סנה,1909,Full,5
618,טובה סנהדראי,1906,Full,5
619,יוסף ספיר,1902,Full,5
620,פנחס ספיר,1906,Full,5
621,משה סרדינס,1917,Full,5
622,יוסף סרלין,1906,Full,5
623,דיאב עוביד,1911,Full,5
624,ברוך עוזיאל,1901,Full,5
625,יוסף פישר,1920,Full,5
626,מנחם פרוש,1916,Full,5
627,שלמה פרלשטיין,1902,Full,5
628,שמעון פרס,1923,Full,5
629,דוד פתל,1921,Full,5
630,רחל צברי,1909,Full,5
631,חיים יוסף צדוק,1913,Full,5
632,צבי צימרמן,1913,Full,5
633,משה קול,1911,Full,5
634,יצחק קורן,1911,Full,5
635,יוסף קושניר,1900,Partial,5
636,יצחק הנס קלינגהופר,1905,Full,5
637,משה קלמר,1901,Partial,5
638,ישראל קרגמן,1906,Full,5
639,יוסף קרמרמן,1926,Partial,5
640,חנן רובין,1908,Partial,5
641,פנחס רוזן,1887,Full,5
642,אסתר רזיאל-נאור,1911,Full,5
643,אלימלך שמעון רימלט,1907,Full,5
644,יעקב ריפתין,1907,Full,5
645,יצחק רפאל,1914,Full,5
646,שלום אברהם שאקי,1906,Partial,5
647,אליעזר שוסטק,1911,Full,5
648,יוסף שופמן,1903,Full,5
649,שמואל שורש,1913,Full,5
650,בנימין שחור,1916,Full,5
651,בכור שלום שטרית,1895,Full,5
652,שבתאי שיכמן,1915,Full,5
653,ויקטור שם-טוב,1915,Full,5
654,יהודה שערי,1920,Full,5
655,חיים משה שפירא,1902,Full,5
656,משה שרת,1894,Partial,5
657,אמה תלמי,1906,Full,5
658,אבא אבן,1915,Full,6
659,בנימין אבניאל,1906,Full,6
660,אורי אבנרי,1923,Full,6
661,שניאור זלמן אברמוב,1908,Full,6
662,אהרן אוזן,1924,Full,6
663,משה אונא,1902,Full,6
664,סיף א-דין א-זועבי,1913,Full,6
665,עבד אל-עזיז א-זועבי,1926,Full,6
